dis_name,name,y_2017,y_2018,y_2019,y_2020,y_2021,lon,lat
Acipayam,Acipayam,134.4741377,362.8135905,216.8835204,321.522161,333.1012758,29.34941,37.42385
Babadag,Babadag,7.334350369,5.437532606,1.588217304,11.97371668,16.8027022,28.87877,37.80885
Baklan,Baklan,35.26084588,18.79140407,23.23921506,3.90574554,9.46008225,29.60861,37.97694
Buldan,Buldan,5.538875744,58.31794485,28.84831442,66.46410864,129.2187518,28.83056,38.045
Cal,Cal,25.21845458,15.52939127,13.94788687,31.07345281,51.86929646,29.395378,38.061793
Cameli,Cameli,102.2521301,95.3091895,79.98507276,143.9406035,93.74919611,29.34472,37.07611
Cardak,Cardak,7.8359277,9.792209056,7.34305017,45.91294147,78.59875818,29.66833,37.82694
Civril,Civril,13.15878451,16.61580136,7.638517571,2.611131961,8.306184833,29.73861,38.30139
Guney,Guney,22.03026633,9.736922348,11.7478727,6.812065278,14.78852,29.06778,38.15444
Kale,Kale,162.3410937,163.3810579,126.8440295,405.0658847,292.490641,28.84528,37.43917
Merkezefendi,Merkezefendi,63.49268971,59.1563349,49.8653973,123.2026336,190.0831069,29.078149,37.799384
Pamukkale,Pamukkale,0,0.792263148,0.060945722,0,0,29.11729,37.91644
Saraykoy,Saraykoy,28.67996054,1.708207865,3.602299409,20.702569,36.14541004,28.92516,37.92448
Serinhisar,Serinhisar,0.306384402,2.205808082,0,0,0,29.26639,37.58104
Tavas,Tavas,104.6835187,154.3454685,151.4998395,204.9370467,140.1231939,29.07058,37.57351
Beyagac,Beyagac,10.89966553,3.878401835,5.541115572,15.69921222,10.59116026,28.875299,37.226469
Bozkurt,Bozkurt,120.6013835,63.81715444,142.3753642,149.5484692,115.9730047,29.559036,37.775236
Bekilli,Bekilli,2.97929896,0.668785187,3.344325296,2.796479162,2.553308338,29.4197,38.23105
Honaz,Honaz,29.40978481,43.36769137,60.04219068,40.72831221,65.23397399,29.26996,37.7573
